Sample Antivirus Program Log.
Created On: 08/12/2018

Directory: E:\Xcluded\Samples
Scanning: E:\Xcluded\Samples\cb73b3b49cf544699791cd8324bc28fb
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\a632820bd27f4cf5bd8407a4655b81f0
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\ea7e0b7a714249c4b8c078934f6ec7bd
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\582874b94036478796f1ded77b2dc3f0
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\62ab44aea24647389a12021b0d514e2b
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\fa8611947e51412783ef997f41d6695e
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\9b9c02c5e9044da98c32f732b808ef9d
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\cc78af3272f94e6586e69b78e7e1cae0
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\e491a71a031847a4b8a2fb639a174196
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\5518486bcb5c4b27b24139601f6f51e3
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\ac24343b51334735bcc7f052a8409b64
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\ddbdf0b4ae3c4f70a52a440dce3eab38
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\ae0ac4abb1c646fb8e2adde2a586c407
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\470e89f917c943c0905b2b989bdd8656
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\9c0a0ea5ab7045dbaa30d741de55e5b7
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\508e485cfb8c4804b4e0106059c2a42d
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\e00289ba446145e6902f4f6cd2cd89f0
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\b0d04ab6c3224bbeb43f9e9c102cfc10
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\0de4903aa475476c8bbac69c67463be0
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\9883be8cf0cd4878bc56e3b85c9a66e3
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\1ba9af40bda74a2aa640ba18c9bb194f
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\69d6e3fbf56d4981bf90dd835584e961
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\5c2ae96f98e8430facdca238a98ab208
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\ef67b61e988545ad92ef378e6ec8b863
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\451bbbafea2442ca9389291a981e2078
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\637da9851f5c47c3ae07de80ee2d51b7
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\14086a9a3a114de7b4dbe4257da3e029
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\d92057f4ff6a48c7bde1bb8e15b29538
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\00ab2229533748a7ba348b7f465b7cf2
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\60236215ad024be9ace2168fdaf1d9e7
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\73226d7e947148a7ad6a2207f07e56f4
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\9dbdaae47bd24a96b55ef1d912f49be6
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\9dae6a42a52a4f48a5d664a637046af2
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\d19d3c5c29264d3aa50b63345dc3d37f
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\df8b49e898d24ec6bf1e1ebd8746ba62
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\5c073341f5754826a94a709153b6c29f
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\6f66601d36ed4a868156904efa560180
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\db66ad1605394c9db0d9d47382f56404
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\2ba74eeee87644369355a8b7b4bd2bd5
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\37fce4e3c2a44c728eb556c250a16a04
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\ab4e905b125c4f03a49aebd486ec0c13
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\1b7b6440756149eeb3d7e7c82ee50037
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\eba1a8320938454d9e9ff53df13151c2
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\13e37372934448fba8aa1556f6e3b07d
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\1efd706f590d4b3c80029f4e2de4add0
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\e8ba71e1a20e4ba3bab417210e7a07c1
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\d48038173b9b4abb88cbf68053ee077e
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\5db1cebf41d6428facf1bc546f22e30f
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\345a7bc8cbbb4b4096a6304d7f437590
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\d37439f6449b46c488fcc4350e28a1ed
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\9754230176fc4fe19f73c39324082c0b
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\57d66bd96dcb4b5191032e4e563d65f0
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\9d6e064b8dc945a08949765f801d7bf3
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\7e6937a4cede490096874797372fc28b
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\8c44c79d10b34220b99a8c1605d99059
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\a67bffb4b914420c8194d9c09709cda9
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\d237c90305f54a579052acdbba35533e
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\42f007e9f4c041a286fc85637ca7ae04
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\6930513ba44549c28608fe6fcac0e554
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\bf6af25560f14999b62383400682b3a1
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\1306efea10eb442ba230203fb7a0e428
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\6594e513f0864af2b6626065038facab
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\443eca19c3134fd3abb69e7ff3adb4e7
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\657ee6491c8146c1b0fd2dcae2914d6e
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\6928d3760ff444a7a8166f67f0edbe3d
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\632b99649b07457b84249d8b737916d1
Infected: Script/Exploit.Kit

